Entity,Code,Year,Average effective age of retirement (OECD)
Argentina,ARG,1982,68.75
Argentina,ARG,1983,66.85
Argentina,ARG,1984,67.05000000000001
Argentina,ARG,1985,66.9
Argentina,ARG,1986,67.5
Argentina,ARG,1987,68.05
Argentina,ARG,1988,69.15
Argentina,ARG,1989,69.1
Argentina,ARG,1990,67.75
Argentina,ARG,1991,68.5
Argentina,ARG,1992,69.6
Argentina,ARG,1993,68.80000000000001
Argentina,ARG,1994,68.0
Argentina,ARG,1995,67.4
Argentina,ARG,1996,67.5
Argentina,ARG,1997,68.29999924
Argentina,ARG,1998,69.099998475
Argentina,ARG,1999,69.94999999999999
Argentina,ARG,2000,70.85
Argentina,ARG,2001,69.9
Argentina,ARG,2002,69.25
Argentina,ARG,2003,68.8
Argentina,ARG,2004,68.2
Argentina,ARG,2005,67.25
Argentina,ARG,2006,67.5
Argentina,ARG,2007,66.3
Argentina,ARG,2008,66.5
Argentina,ARG,2009,65.95
Argentina,ARG,2010,66.5
Argentina,ARG,2011,66.85
Argentina,ARG,2012,67.30000000000001
Argentina,ARG,2013,66.15
Argentina,ARG,2014,65.6
Argentina,ARG,2015,65.5
Argentina,ARG,2016,65.25
Argentina,ARG,2017,65.10000038
Argentina,ARG,2018,65.45000076
Australia,AUS,1970,66.30000000000001
Australia,AUS,1971,66.0
Australia,AUS,1972,65.80000000000001
Australia,AUS,1973,64.85
Australia,AUS,1974,64.8
Australia,AUS,1975,63.7
Australia,AUS,1976,64.05
Australia,AUS,1977,63.25
Australia,AUS,1978,62.75
Australia,AUS,1979,62.35
Australia,AUS,1980,62.05
Australia,AUS,1981,61.55
Australia,AUS,1982,61.4
Australia,AUS,1983,61.05
Australia,AUS,1984,60.8
Australia,AUS,1985,60.7
Australia,AUS,1986,61.05
Australia,AUS,1987,60.65
Australia,AUS,1988,60.85
Australia,AUS,1989,61.05
Australia,AUS,1990,61.45
Australia,AUS,1991,61.15
Australia,AUS,1992,61.25
Australia,AUS,1993,61.65
Australia,AUS,1994,60.900000000000006
Australia,AUS,1995,60.849999999999994
Australia,AUS,1996,60.55
Australia,AUS,1997,60.450000765
Australia,AUS,1998,60.25
Australia,AUS,1999,60.85
Australia,AUS,2000,60.8
Australia,AUS,2001,61.1
Australia,AUS,2002,61.75
Australia,AUS,2003,62.05
Australia,AUS,2004,61.7
Australia,AUS,2005,62.5
Australia,AUS,2006,63.0
Australia,AUS,2007,62.9
Australia,AUS,2008,62.55
Australia,AUS,2009,63.45
Australia,AUS,2010,63.6
Australia,AUS,2011,63.800000000000004
Australia,AUS,2012,63.75
Australia,AUS,2013,64.15
Australia,AUS,2014,63.85
Australia,AUS,2015,64.30000000000001
Australia,AUS,2016,64.4
Australia,AUS,2017,64.89999771000001
Australia,AUS,2018,64.80000305
Austria,AUT,1970,65.5
Austria,AUT,1971,65.4
Austria,AUT,1972,65.05
Austria,AUT,1973,65.45
Austria,AUT,1974,65.7
Austria,AUT,1975,65.80000000000001
Austria,AUT,1976,65.55
Austria,AUT,1977,65.30000000000001
Austria,AUT,1978,64.7
Austria,AUT,1979,64.1
Austria,AUT,1980,63.7
Austria,AUT,1981,62.95
Austria,AUT,1982,62.55
Austria,AUT,1983,62.349999999999994
Austria,AUT,1984,62.45
Austria,AUT,1985,61.95
Austria,AUT,1986,61.55
Austria,AUT,1987,61.7
Austria,AUT,1988,61.65
Austria,AUT,1989,61.650000000000006
Austria,AUT,1990,61.75
Austria,AUT,1991,61.6
Austria,AUT,1992,61.25
Austria,AUT,1993,60.95
Austria,AUT,1994,60.7
Austria,AUT,1995,60.25
Austria,AUT,1996,60.15
Austria,AUT,1997,60.29999924
Austria,AUT,1998,60.450000765
Austria,AUT,1999,60.05
Austria,AUT,2000,59.599999999999994
Austria,AUT,2001,58.9
Austria,AUT,2002,59.5
Austria,AUT,2003,59.6
Austria,AUT,2004,58.5
Austria,AUT,2005,58.25
Austria,AUT,2006,58.95
Austria,AUT,2007,58.05
Austria,AUT,2008,57.7
Austria,AUT,2009,58.0
Austria,AUT,2010,58.75
Austria,AUT,2011,59.2
Austria,AUT,2012,60.5
Austria,AUT,2013,61.0
Austria,AUT,2014,61.2
Austria,AUT,2015,61.05
Austria,AUT,2016,61.3
Austria,AUT,2017,62.049999235
Austria,AUT,2018,62.14999962
Belgium,BEL,1970,63.4
Belgium,BEL,1971,63.55
Belgium,BEL,1972,63.650000000000006
Belgium,BEL,1973,63.650000000000006
Belgium,BEL,1974,63.6
Belgium,BEL,1975,63.6
Belgium,BEL,1976,62.7
Belgium,BEL,1977,61.7
Belgium,BEL,1978,61.2
Belgium,BEL,1979,60.9
Belgium,BEL,1980,60.25
Belgium,BEL,1981,60.0
Belgium,BEL,1982,60.1
Belgium,BEL,1983,59.55
Belgium,BEL,1984,59.05
Belgium,BEL,1985,59.05
Belgium,BEL,1986,58.650000000000006
Belgium,BEL,1987,57.849999999999994
Belgium,BEL,1988,57.349999999999994
Belgium,BEL,1989,57.3
Belgium,BEL,1990,57.3
Belgium,BEL,1991,57.65
Belgium,BEL,1992,56.7
Belgium,BEL,1993,57.349999999999994
Belgium,BEL,1994,57.4
Belgium,BEL,1995,57.349999999999994
Belgium,BEL,1996,56.7
Belgium,BEL,1997,57.64999962
Belgium,BEL,1998,57.64999962
Belgium,BEL,1999,57.85
Belgium,BEL,2000,57.8
Belgium,BEL,2001,57.75
Belgium,BEL,2002,57.65
Belgium,BEL,2003,57.0
Belgium,BEL,2004,57.8
Belgium,BEL,2005,58.150000000000006
Belgium,BEL,2006,58.45
Belgium,BEL,2007,59.3
Belgium,BEL,2008,59.599999999999994
Belgium,BEL,2009,59.65
Belgium,BEL,2010,59.8
Belgium,BEL,2011,59.3
Belgium,BEL,2012,59.150000000000006
Belgium,BEL,2013,59.4
Belgium,BEL,2014,59.55
Belgium,BEL,2015,59.85
Belgium,BEL,2016,60.5
Belgium,BEL,2017,60.899999615
Belgium,BEL,2018,61.049999235
Brazil,BRA,1970,72.85
Brazil,BRA,1971,72.75
Brazil,BRA,1972,72.7
Brazil,BRA,1973,72.69999999999999
Brazil,BRA,1974,72.75
Brazil,BRA,1975,72.55000000000001
Brazil,BRA,1976,72.35
Brazil,BRA,1977,72.15
Brazil,BRA,1978,71.9
Brazil,BRA,1979,71.7
Brazil,BRA,1980,71.5
Brazil,BRA,1981,71.25
Brazil,BRA,1982,70.94999999999999
Brazil,BRA,1983,70.69999999999999
Brazil,BRA,1984,70.45
Brazil,BRA,1985,70.2
Brazil,BRA,1986,69.3
Brazil,BRA,1987,70.45
Brazil,BRA,1988,69.75
Brazil,BRA,1989,68.95
Brazil,BRA,1990,68.69999999999999
Brazil,BRA,1991,67.9
Brazil,BRA,1992,66.5
Brazil,BRA,1993,65.75
Brazil,BRA,1994,66.55
Brazil,BRA,1995,66.65
Brazil,BRA,1996,65.4
Brazil,BRA,1997,65.60000228999999
Brazil,BRA,1998,65.100000385
Brazil,BRA,1999,65.35
Brazil,BRA,2000,64.75
Brazil,BRA,2001,65.35
Brazil,BRA,2002,65.55
Brazil,BRA,2003,66.3
Brazil,BRA,2004,65.94999999999999
Brazil,BRA,2005,66.15
Brazil,BRA,2006,66.5
Brazil,BRA,2007,65.55
Brazil,BRA,2008,65.7
Brazil,BRA,2009,65.6
Brazil,BRA,2010,65.65
Brazil,BRA,2011,65.35
Brazil,BRA,2012,65.05000000000001
Brazil,BRA,2013,65.3
Brazil,BRA,2014,64.75
Brazil,BRA,2015,64.9
Brazil,BRA,2016,65.6
Brazil,BRA,2017,64.899999615
Brazil,BRA,2018,64.949998855
Bulgaria,BGR,1970,63.0
Bulgaria,BGR,1971,62.650000000000006
Bulgaria,BGR,1972,62.3
Bulgaria,BGR,1973,62.0
Bulgaria,BGR,1974,61.65
Bulgaria,BGR,1975,61.4
Bulgaria,BGR,1976,61.0
Bulgaria,BGR,1977,60.55
Bulgaria,BGR,1978,60.15
Bulgaria,BGR,1979,59.65
Bulgaria,BGR,1980,59.15
Bulgaria,BGR,1981,59.25
Bulgaria,BGR,1982,59.3
Bulgaria,BGR,1983,59.35
Bulgaria,BGR,1984,59.5
Bulgaria,BGR,1985,59.55
Bulgaria,BGR,1986,59.7
Bulgaria,BGR,1987,59.8
Bulgaria,BGR,1988,59.9
Bulgaria,BGR,1989,59.95
Bulgaria,BGR,1990,60.0
Bulgaria,BGR,1991,59.5
Bulgaria,BGR,1992,58.95
Bulgaria,BGR,1993,58.4
Bulgaria,BGR,1994,57.849999999999994
Bulgaria,BGR,1995,57.349999999999994
Bulgaria,BGR,1996,56.75
Bulgaria,BGR,1997,56.200000765
Bulgaria,BGR,1998,56.299999235
Bulgaria,BGR,1999,56.35
Bulgaria,BGR,2000,56.45
Bulgaria,BGR,2001,56.75
Bulgaria,BGR,2002,56.5
Bulgaria,BGR,2003,55.75
Bulgaria,BGR,2004,56.5
Bulgaria,BGR,2005,57.4
Bulgaria,BGR,2006,58.3
Bulgaria,BGR,2007,60.8
Bulgaria,BGR,2008,63.25
Bulgaria,BGR,2009,62.400000000000006
Bulgaria,BGR,2010,61.7
Bulgaria,BGR,2011,61.0
Bulgaria,BGR,2012,60.25
Bulgaria,BGR,2013,60.95
Bulgaria,BGR,2014,61.25
Bulgaria,BGR,2015,61.75
Bulgaria,BGR,2016,61.900000000000006
Bulgaria,BGR,2017,62.549999235
Bulgaria,BGR,2018,63.04999924
Canada,CAN,1970,66.15
Canada,CAN,1971,66.1
Canada,CAN,1972,65.94999999999999
Canada,CAN,1973,65.65
Canada,CAN,1974,65.4
Canada,CAN,1975,65.2
Canada,CAN,1976,65.05000000000001
Canada,CAN,1977,64.65
Canada,CAN,1978,64.45
Canada,CAN,1979,64.69999999999999
Canada,CAN,1980,64.5
Canada,CAN,1981,64.25
Canada,CAN,1982,64.0
Canada,CAN,1983,64.0
Canada,CAN,1984,63.2
Canada,CAN,1985,63.3
Canada,CAN,1986,63.05
Canada,CAN,1987,63.2
Canada,CAN,1988,63.0
Canada,CAN,1989,63.3
Canada,CAN,1990,62.5
Canada,CAN,1991,62.5
Canada,CAN,1992,62.15
Canada,CAN,1993,61.8
Canada,CAN,1994,61.5
Canada,CAN,1995,61.35
Canada,CAN,1996,61.0
Canada,CAN,1997,61.14999962
Canada,CAN,1998,61.20000076
Canada,CAN,1999,61.75
Canada,CAN,2000,61.75
Canada,CAN,2001,62.0
Canada,CAN,2002,62.35
Canada,CAN,2003,63.0
Canada,CAN,2004,62.65
Canada,CAN,2005,62.55
Canada,CAN,2006,62.599999999999994
Canada,CAN,2007,62.65
Canada,CAN,2008,62.6
Canada,CAN,2009,62.75
Canada,CAN,2010,62.849999999999994
Canada,CAN,2011,63.3
Canada,CAN,2012,63.3
Canada,CAN,2013,63.55
Canada,CAN,2014,63.55
Canada,CAN,2015,64.15
Canada,CAN,2016,64.55
Canada,CAN,2017,64.799999235
Canada,CAN,2018,64.75
Chile,CHL,1970,68.35
Chile,CHL,1971,68.7
Chile,CHL,1972,69.15
Chile,CHL,1973,69.6
Chile,CHL,1974,70.0
Chile,CHL,1975,70.5
Chile,CHL,1976,70.15
Chile,CHL,1977,69.65
Chile,CHL,1978,69.1
Chile,CHL,1979,68.6
